,price,Индекс стоимости грузоперевозок,Импорт цемента ЖД,Экспорт цемента ЖД,Отгрузка цемента хоппер ЖД,Отгрузка цемента остальные ЖД,Производство цемента,Импорт цемента,Экспорт цемента,Потребление цемента,Отгрузка цемента,Цена цемента с НДС,Цена цемента без НДС,Производство бетона РФ,Производство бетона МО,Производство бетона СПБ,цена,Базовый индекс потребительских цен на товары и услуги,Ключевая ставка,Курс доллара,Производство арматуры Сортовой прокат_Арматура,Производство арматуры Сортовой прокат_Катанка,Производство арматуры Сортовой прокат_Прутки прочие,Производство сырья ЖРС_Агломерат,Производство сырья ЖРС_Аглоруда,Производство сырья ЖРС_Концентрат,Производство сырья ЖРС_Концентрат для дообогащения,Производство сырья ЖРС_Окатыши,Производство сырья Кокс_Кокс валовый,Производство сырья Концентрат коксующегося угля_Жирные,Производство сырья Концентрат коксующегося угля_Коксовые,Производство сырья Концентрат коксующегося угля_Отощающие,Производство сырья Металлизованная продукция_ГБЖ,Производство сырья Металлизованная продукция_ПВЖ,Производство сырья Рядовой коксующийся уголь_Газовые,Производство сырья Рядовой коксующийся уголь_Жирные,Производство сырья Рядовой коксующийся уголь_Коксовые,Производство сырья Рядовой коксующийся уголь_Отощающие,Производство сырья Сталь_Конвертер,Производство сырья Сталь_Мартен,Производство сырья Сталь_Сталь всего,Производство сырья Сталь_Электропечь,Производство сырья Чугун_Чугун,ПотреблениеЖРС_Концентрат,ПотреблениеЖРС_Агломерат,ПотреблениеЖРС_Окатыши,ПотреблениеЖРС_Концентрат для дообогащения,ПотреблениеЖРС_Аглоруда,Поставки Сортовой прокат_Арматура,Поставки Сортовой прокат_Катанка,Поставки Сортовой прокат_Прутки прочие,Поставки Концентрат коксующегося угля_Жирные,Поставки Концентрат коксующегося угля_Коксовые,Поставки Концентрат коксующегося угля_Отощающие,Поставки Кокс_Кокс доменный,Поставки Чугун_Литейный чугун,Поставки Чугун_Передельный чугун,Поставки ЖРС_Агломерат,Поставки ЖРС_Аглоруда,Поставки ЖРС_Концентрат,Поставки ЖРС_Концентрат для дообогащения,Поставки ЖРС_Окатыши,Спрос ЖРС_Агломерат,Спрос ЖРС_Аглоруда,Спрос ЖРС_Концентрат,Спрос ЖРС_Концентрат для дообогащения,Спрос ЖРС_Окатыши,Спрос Металлизованная продукция_ГБЖ,Спрос Кокс_Кокс доменный,Спрос Концентрат коксующегося угля_Жирные,Спрос Концентрат коксующегося угля_Коксовые,Спрос Концентрат коксующегося угля_Отощающие,Импорт сырья ЖРС_Концентрат,Импорт сырья ЖРС_Окатыши,Импорт сырья Концентрат коксующегося угля_Коксовые,Импорт арматуры Сортовой прокат_Арматура,Импорт арматуры Сортовой прокат_Катанка,Импорт арматуры Сортовой прокат_Прутки прочие,Экспорт сырья ЖРС_Аглоруда,Экспорт сырья ЖРС_Концентрат,Экспорт сырья ЖРС_Окатыши,Экспорт сырья Кокс_Кокс доменный,Экспорт сырья Кокс_Мелочь коксовая,Экспорт сырья Кокс_Орешек коксовый,Экспорт сырья Концентрат коксующегося угля_Жирные,Экспорт сырья Концентрат коксующегося угля_Коксовые,Экспорт сырья Металлизованная продукция_ГБЖ,Экспорт сырья Чугун_Литейный чугун,Экспорт сырья Чугун_Передельный чугун,Экспорт арматуры Сортовой прокат_Арматура,Экспорт арматуры Сортовой прокат_Катанка,Экспорт арматуры Сортовой прокат_Прутки прочие,Цена на бензин,Цена на дт,"Концентрат коксующегося угля_Россия марка ОС FCA руб./т, без НДС","Лом_HMS 1/2 80:20, FOB EC Роттердам, $/т","Лом_3А, РФ CPT ж/д Южный ФО, руб./т, без НДС","Лом_3А, РФ CPT ж/д Сибирский ФО, руб./т, без НДС","Лом_3А, РФ CPT ж/д Центральный ФО, руб./т, без НДС","ЖРС_Китай Iron ore fines Fe 62%, CFR","Чугун_CFR Италия, $/т","Концентрат коксующегося угля_Россия марка КО FCA руб./т, без НДС","ЖРС_Российские окатыши Fe 62-65,5%, SiO2 5,8-8,65, DAP Забайкальск-Манжули, $/т","Лом_HMS 1/2 80:20, FOB США Восток, $/т","Лом_3А, FOB РФ Черное море, $/т","Чугун_FOB Бразилия Север, $/т","Лом_HMS 1/2 80:20, CFR ЮВА, $/т","Концентрат коксующегося угля_Россия марка КС FCA руб./т, без НДС","Лом_3А, РФ FCA ж/д респ. Татарстан, руб./т, без НДС","ЖРС_Российский концентрат Fe 62,5-67,5%, SiO2 0,78-8,51, сухой вес, DAP Забайкальск-Манжули, $/т","Концентрат коксующегося угля_Россия марка К и смеси марок К, КО FCA руб./т, без НДС","Кокс_Россия Урал Сибирь +25, FCA руб./т., без НДС","Лом_3А, РФ FCA ж/д Московский регион, руб./т, без НДС","Концентрат коксующегося угля_Россия марка Ж+ГЖ FCA руб./т, без НДС","Чугун_FOB Россия Черное море, $/т","ЖРС_Россия аглоруда Fe 52-60%, FCA руб./т, без НДС","ЖРС_Россия концентрат Fe 64-68%, FCA руб./т, без НДС","Чугун_Россия, FCA руб./т, без НДС","Концентрат коксующегося угля_HCC Австралия, $/t FOB","ЖРС_Россия окатыши Fe 62-65,5% FCA руб./т, без НДС","ГБЖ_CFR Италия, $/т","Лом_3А, РФ CPT ж/д Уральский ФО, руб./т, без НДС","Концентрат коксующегося угля_Россия марка Ж FCA руб./т, без НДС","Лом_HMS 1/2 80:20, CFR Турция, $/т","Чугун_CFR Китай, $/т","Концентрат коксующегося угля_Средняя шихта Россия FCA руб./т, без НДС","Концентрат коксующегося угля_Россия марка ГЖ FCA руб./т, без НДС","Чугун_CFR NOLA США, $/т","Чугун_CFR Турция, $/т","ЖРС_Средневзвешенная цена окатыши Fe 62-65,5%, Россия FCA руб./т, без НДС","ЖРС_Средневзвешенная цена концентрат Fe 64-68%, Россия FCA руб./т, без НДС","ЖРС_Средневзвешенная цена аглоруда Fe 52-60%, Россия FCA руб./т, без НДС","ЖРС_Средневзвешенная цена за 1 % Fe в аглоруде, Россия FCA руб./т, без НДС","ЖРС_Средневзвешенная цена за 1 % Fe в концентрате, Россия FCA руб./т, без НДС","ЖРС_Средневзвешенная цена за 1 % Fe в окатыши, Россия FCA руб./т, без НДС","ЖРС_Украинский концентрат Fe 65-68%,  DAP граница Украины с Европой,  $/т","ЖРС_Украинские окатыши Fe 65-66%, DAP граница Украины с Европой,  $/т",price_diff,price_seasonal_diff,price_lag_1,price_lag_4,price_lag_8,price_lag_12
2021-07-26,71500.0,1194.0,120.20100000000001,81.254,1689.769749999569,541.5880000000051,4.603624999999999,168.02967575,95.72211250000001,4.69618256325,2.23135775,3837.635,5098.8475,3.18619313,475.49525,289.5415,727.2,100.53999999999999,5.7,74.15856,850.25,357.5,258.75,4940.5,495.25,10658.25,523.0,5149.0,2375.0,3185.0,2632.0,422.5,334.75,240.5,402.5,4484.25,2348.0,1381.5,4171.25,124.75,6529.0,2232.0,4592.25,3977.5,320.5,2901.0,529.0,474.5,673.25,214.25,193.0,1522.5,1655.5,122.0,457.0,0.5,28.25,320.5,475.25,3482.75,529.75,2610.25,320.5,475.25,3976.5,529.75,2810.25,51.25,457.25,1618.0,1560.0,122.0,493.75,289.25,84.0,38.75,0.0,7.25,0.0,371.25,272.0,16.0,6.25,7.75,126.25,253.25,20.0,8.5,46.25,177.25,142.25,65.0,48.4525,48.540000000000006,11800.0,437.0,26272.0,24580.0,26161.0,209.0,655.0,10500.0,241.0,445.0,440.0,605.0,508.0,9500.0,24725.0,182.0,14500.0,28500.0,24714.0,10150.0,608.0,5475.0,12090.0,42500.0,236.0,16450.0,487.5,26726.0,10800.0,480.0,585.0,10930.0,9500.0,632.5,637.5,16162.0,12403.0,5313.0,87.0,187.0,260.0,211.0,268.0,-1000.0,9000.0,,,,
2021-08-02,69500.0,1191.0,125.093,88.93,1754.57599999952,573.1330000000075,4.855899999999999,182.176201,105.9659,4.933510301,2.327709,3853.3,5031.96,3.30228113,492.623,301.091,721.8140000000001,100.47,6.5,73.57662,867.0,361.0,257.0,4957.0,507.0,10787.0,496.0,5205.0,2397.0,3171.0,2669.0,409.0,329.0,227.0,373.0,4473.0,2339.0,1401.0,4184.0,121.0,6562.0,2256.0,4630.0,3993.0,318.0,2898.0,525.0,469.0,691.0,219.0,193.0,1519.0,1721.0,131.0,456.0,0.0,29.0,318.0,470.0,3517.0,526.0,2603.0,318.0,470.0,3992.0,526.0,2803.0,50.0,454.0,1608.0,1632.0,131.0,475.0,293.0,81.0,43.0,0.0,8.0,0.0,376.0,254.0,16.0,8.0,9.0,116.0,210.0,20.0,9.0,46.0,177.0,141.0,63.0,48.52,48.59,11800.0,430.0,26890.0,23645.0,26351.0,196.0,647.5,10500.0,222.0,439.0,427.0,570.0,503.0,9500.0,24886.0,169.0,14500.0,28500.0,25089.0,10150.0,590.0,5475.0,12090.0,42500.0,240.0,16450.0,482.5,26656.0,10800.0,472.0,585.0,10930.0,9500.0,607.5,635.0,16162.0,12403.0,5313.0,87.0,187.0,260.0,211.0,268.0,-2000.0,6000.0,71500.0,,,
2021-08-09,66000.0,1197.0,124.962,93.6348,1775.5705999994973,590.4922000000076,5.02952,184.4771728,112.99135000000001,5.0993458228,2.3660628,3865.654,5073.712,3.3994513299999998,506.6432,301.665,703.4,100.494,6.5,72.99442,864.6,346.4,257.0,4920.6,506.0,10661.4,519.4,5140.6,2383.4,3171.8,2548.8,408.4,337.2,237.8,380.0,4422.8,2245.8,1360.0,4173.6,126.0,6558.6,2258.0,4604.6,3943.0,320.2,2886.2,514.4,461.6,697.0,217.8,194.2,1517.2,1672.0,125.4,460.6,0.0,29.0,320.0,462.2,3466.8,515.2,2583.0,320.0,462.2,3942.2,515.2,2788.6,55.8,458.8,1611.0,1572.4,125.4,475.4,301.6,84.0,41.8,0.0,7.0,0.0,377.4,250.2,19.2,9.0,9.8,110.8,206.8,20.0,7.4,44.0,168.2,127.8,61.8,48.576,48.628,11800.0,424.0,27101.0,24491.0,26706.0,178.0,605.0,10500.0,199.0,424.0,417.0,550.0,500.0,9500.0,25215.0,151.0,14500.0,28500.0,25589.0,10150.0,565.0,5750.0,12715.0,42500.0,245.0,17750.0,472.5,26812.0,10800.0,464.0,575.0,10930.0,9500.0,587.5,592.5,16162.0,12403.0,5313.0,87.0,187.0,260.0,211.0,268.0,-3500.0,-1000.0,69500.0,,,
2021-08-16,65000.0,1198.0,124.831,98.3396,1796.5651999994745,607.8514000000077,5.203139999999999,186.7781446,120.0168,5.2651813446,2.4044166,3878.0080000000003,5115.464,3.49662153,520.6634,302.23900000000003,695.3,100.518,6.5,73.62254,862.2,331.8,257.0,4884.2,505.0,10535.8,542.8,5076.2,2369.8,3172.6,2428.6,407.8,345.4,248.6,387.0,4372.6,2152.6,1319.0,4163.2,131.0,6555.2,2260.0,4579.2,3893.0,322.4,2874.4,503.8,454.2,703.0,216.6,195.4,1515.4,1623.0,119.8,465.2,0.0,29.0,322.0,454.4,3416.6,504.4,2563.0,322.0,454.4,3892.4,504.4,2774.2,61.6,463.6,1614.0,1512.8,119.8,475.8,310.2,87.0,40.6,0.0,6.0,0.0,378.8,246.4,22.4,10.0,10.6,105.6,203.6,20.0,5.8,42.0,159.4,114.6,60.6,48.632,48.666000000000004,11800.0,415.0,27849.0,24489.0,27356.0,163.0,577.5,10500.0,181.0,421.0,410.0,540.0,495.0,9500.0,25672.0,137.0,14500.0,28500.0,26472.0,10150.0,540.0,5750.0,12715.0,42500.0,252.0,17750.0,462.5,26824.0,10800.0,457.0,555.0,10930.0,9500.0,586.0,577.5,16162.0,12403.0,5313.0,87.0,187.0,260.0,211.0,268.0,-1000.0,-6900.0,66000.0,,,
2021-08-23,63500.0,1209.0,124.7,103.0444,1817.5597999994516,625.210600000008,5.37676,189.0791164,127.04225000000001,5.4310168664,2.4427704,3890.362,5157.216,3.59379173,534.6836000000001,302.813,692.0,100.542,6.5,73.76898,859.8,317.2,257.0,4847.8,504.0,10410.2,566.2,5011.8,2356.2,3173.4,2308.4,407.2,353.6,259.4,394.0,4322.4,2059.4,1278.0,4152.8,136.0,6551.8,2262.0,4553.8,3843.0,324.6,2862.6,493.2,446.8,709.0,215.4,196.6,1513.6,1574.0,114.2,469.8,0.0,29.0,324.0,446.6,3366.4,493.6,2543.0,324.0,446.6,3842.6,493.6,2759.8,67.4,468.4,1617.0,1453.2,114.2,476.2,318.8,90.0,39.4,0.0,5.0,0.0,380.2,242.6,25.6,11.0,11.4,100.4,200.4,20.0,4.199999999999999,40.0,150.6,101.4,59.4,48.688,48.704,11800.0,410.0,27941.0,24136.0,27394.0,149.0,567.5,10500.0,167.0,415.0,400.0,500.0,500.0,9500.0,26077.0,123.0,14500.0,28500.0,26514.0,10150.0,500.0,5750.0,12715.0,42500.0,261.0,17750.0,452.5,26890.0,10800.0,452.0,545.0,10930.0,9500.0,562.5,562.5,16162.0,12403.0,5313.0,87.0,187.0,260.0,211.0,268.0,-1500.0,-8400.0,65000.0,71500.0,,
2021-08-30,62000.0,1237.0,124.569,107.7492,1838.5543999994288,642.5698000000081,5.55038,191.3800882,134.0677,5.5968523882,2.4811242,3902.7160000000003,5198.968,3.6909619300000003,548.7038,303.387,688.875,100.566,6.5,73.94666,857.4,302.6,257.0,4811.4,503.0,10284.6,589.6,4947.4,2342.6,3174.2,2188.2,406.6,361.8,270.2,401.0,4272.2,1966.2,1237.0,4142.4,141.0,6548.4,2264.0,4528.4,3793.0,326.8,2850.8,482.6,439.4,715.0,214.2,197.8,1511.8,1525.0,108.6,474.4,0.0,29.0,326.0,438.8,3316.2,482.8,2523.0,326.0,438.8,3792.8,482.8,2745.4,73.2,473.2,1620.0,1393.6,108.6,476.6,327.4,93.0,38.2,0.0,4.0,0.0,381.6,238.8,28.8,12.0,12.2,95.2,197.2,20.0,2.5999999999999996,38.0,141.8,88.2,58.2,48.744,48.742000000000004,11800.0,406.0,28185.0,24175.0,27420.0,149.0,552.5,10500.0,163.0,413.0,396.0,485.0,500.0,9500.0,25998.0,123.0,14500.0,28500.0,26654.0,10150.0,500.0,5750.0,12715.0,42500.0,280.0,17750.0,447.5,26960.0,10800.0,448.0,535.0,10930.0,9500.0,531.0,537.5,17343.0,12649.0,5581.0,97.0,192.0,278.0,153.0,211.5,-1500.0,-10500.0,63500.0,69500.0,,
2021-09-06,59000.0,1242.0,124.438,112.454,1859.548999999406,659.9290000000082,5.724,193.68106,141.09315,5.76268791,2.519478,3915.07,5240.72,3.78813213,562.724,303.961,674.114,100.59,6.5,73.14946,855.0,288.0,257.0,4775.0,502.0,10159.0,613.0,4883.0,2329.0,3175.0,2068.0,406.0,370.0,281.0,408.0,4222.0,1873.0,1196.0,4132.0,146.0,6545.0,2266.0,4503.0,3743.0,329.0,2839.0,472.0,432.0,721.0,213.0,199.0,1510.0,1476.0,103.0,479.0,0.0,29.0,328.0,431.0,3266.0,472.0,2503.0,328.0,431.0,3743.0,472.0,2731.0,79.0,478.0,1623.0,1334.0,103.0,477.0,336.0,96.0,37.0,0.0,3.0,0.0,383.0,235.0,32.0,13.0,13.0,90.0,194.0,20.0,1.0,36.0,133.0,75.0,57.0,48.8,48.78,11800.0,405.0,28241.0,24250.0,27418.0,148.0,498.5,10500.0,160.0,413.0,394.0,480.0,483.0,9500.0,25879.0,122.0,14500.0,28500.0,26541.0,10150.0,505.0,4675.0,10365.0,40000.0,306.0,15600.0,445.5,27339.0,10800.0,446.0,535.0,10930.0,9500.0,531.0,537.5,17343.0,12649.0,5581.0,97.0,192.0,278.0,153.0,211.5,-3000.0,-15000.0,62000.0,66000.0,,
2021-09-13,56500.0,1231.0,124.74575,120.24575,1894.2094999994006,698.3262500000089,5.89325,199.51343,148.6149625,5.9907234675000005,2.5925357499999997,3927.9825,5221.3925,3.91513913,567.154,314.35375,675.3,100.64500000000001,6.55,73.09515999999999,859.25,310.75,255.5,4826.5,503.5,10240.0,621.25,4943.0,2346.0,3203.75,2053.5,412.75,382.5,284.25,413.25,4219.25,1851.75,1213.5,4123.0,139.25,6516.5,2253.75,4512.75,3752.25,330.25,2871.5,482.0,440.75,709.75,205.25,191.0,1542.25,1483.75,104.0,468.0,0.0,27.5,329.5,440.25,3274.75,481.75,2526.75,329.5,440.25,3752.25,481.75,2757.5,84.25,466.75,1661.5,1330.25,104.0,477.5,344.5,84.0,35.25,0.5,3.75,1.25,413.5,261.5,30.5,12.25,9.75,86.25,188.0,20.0,1.0,49.5,148.75,105.0,64.0,48.98,48.91,11800.0,401.0,28233.0,24106.0,27219.0,132.0,500.0,10500.0,146.0,409.0,390.0,480.0,483.0,9500.0,25793.0,106.0,14500.0,28500.0,26413.0,10150.0,470.0,4675.0,10365.0,40000.0,349.0,15600.0,442.5,27259.0,10800.0,443.0,542.5,10930.0,9500.0,531.0,537.5,17343.0,12649.0,5581.0,97.0,192.0,278.0,153.0,211.5,-2500.0,-17500.0,59000.0,65000.0,,
2021-09-20,55000.0,1227.0,125.0535,128.0375,1928.869999999395,736.7235000000096,6.0625,205.3458,156.136775,6.218759025000001,2.6655935,3940.895,5202.0650000000005,4.04214613,571.5840000000001,324.74649999999997,662.8,100.7,6.75,72.72926,863.5,333.5,254.0,4878.0,505.0,10321.0,629.5,5003.0,2363.0,3232.5,2039.0,419.5,395.0,287.5,418.5,4216.5,1830.5,1231.0,4114.0,132.5,6488.0,2241.5,4522.5,3761.5,331.5,2904.0,492.0,449.5,698.5,197.5,183.0,1574.5,1491.5,105.0,457.0,0.0,26.0,331.0,449.5,3283.5,491.5,2550.5,331.0,449.5,3761.5,491.5,2784.0,89.5,455.5,1700.0,1326.5,105.0,478.0,353.0,72.0,33.5,1.0,4.5,2.5,444.0,288.0,29.0,11.5,6.5,82.5,182.0,20.0,1.0,63.0,164.5,135.0,71.0,49.16,49.04,11800.0,392.0,27854.0,24607.0,26724.0,113.0,501.5,10500.0,136.0,405.0,386.0,480.0,498.0,9500.0,25523.0,88.0,14500.0,28500.0,26108.0,10150.0,475.0,4675.0,10365.0,40000.0,407.0,15600.0,441.0,26988.0,10800.0,439.0,547.5,10930.0,9500.0,530.0,537.5,17343.0,12649.0,5581.0,97.0,192.0,278.0,153.0,211.5,-1500.0,-19000.0,56500.0,63500.0,71500.0,
2021-09-27,54000.0,1230.0,125.36125,135.82925,1963.5304999993896,775.1207500000104,6.23175,211.17817,163.6585875,6.4467945825,2.73865125,3953.8075,5182.737500000001,4.16915313,576.014,335.13925,669.3,100.755,6.75,73.03028,867.75,356.25,252.5,4929.5,506.5,10402.0,637.75,5063.0,2380.0,3261.25,2024.5,426.25,407.5,290.75,423.75,4213.75,1809.25,1248.5,4105.0,125.75,6459.5,2229.25,4532.25,3770.75,332.75,2936.5,502.0,458.25,687.25,189.75,175.0,1606.75,1499.25,106.0,446.0,0.0,24.5,332.5,458.75,3292.25,501.25,2574.25,332.5,458.75,3770.75,501.25,2810.5,94.75,444.25,1738.5,1322.75,106.0,478.5,361.5,60.0,31.75,1.5,5.25,3.75,474.5,314.5,27.5,10.75,3.25,78.75,176.0,20.0,1.0,76.5,180.25,165.0,78.0,49.34,49.17,11800.0,388.0,27166.0,24138.0,26251.0,103.0,497.5,10500.0,135.0,401.0,386.0,470.0,500.0,9500.0,25059.0,78.0,14500.0,28500.0,25488.0,10150.0,498.0,4675.0,10365.0,40000.0,447.0,15600.0,441.0,26703.0,10800.0,438.0,550.0,10930.0,9500.0,535.0,532.5,15503.0,10349.0,4482.0,81.0,159.0,249.0,107.0,163.5,-1000.0,-20000.0,55000.0,62000.0,69500.0,
2021-10-04,56800.0,1248.0,125.669,143.621,1998.190999999384,813.5180000000112,6.401,217.01054,171.1804,6.67483014,2.811709,3966.72,5163.410000000001,4.29616013,580.444,345.532,673.364,100.81,6.75,72.70322,872.0,379.0,251.0,4981.0,508.0,10483.0,646.0,5123.0,2397.0,3290.0,2010.0,433.0,420.0,294.0,429.0,4211.0,1788.0,1266.0,4096.0,119.0,6431.0,2217.0,4542.0,3780.0,334.0,2969.0,512.0,467.0,676.0,182.0,167.0,1639.0,1507.0,107.0,435.0,0.0,23.0,334.0,468.0,3301.0,511.0,2598.0,334.0,468.0,3780.0,511.0,2837.0,100.0,433.0,1777.0,1319.0,107.0,479.0,370.0,48.0,30.0,2.0,6.0,5.0,505.0,341.0,26.0,10.0,0.0,75.0,170.0,20.0,1.0,90.0,196.0,195.0,85.0,49.52,49.3,11800.0,385.0,26784.0,23908.0,25750.0,116.0,550.0,10500.0,152.0,398.0,386.0,470.0,500.0,9500.0,24722.0,91.0,14500.0,28500.0,25050.0,10150.0,478.0,4675.0,10365.0,40000.0,448.0,15600.0,437.5,26496.0,10800.0,435.0,550.0,10930.0,9500.0,535.5,534.0,15503.0,10349.0,4482.0,81.0,159.0,249.0,107.0,163.5,2800.0,-16700.0,54000.0,59000.0,66000.0,
2021-10-11,59000.0,1247.0,124.75925,140.06650000000002,1970.9422499993973,857.4627500000105,6.47345,220.82995225,166.847815,6.72658213725,2.828405,3983.9399999999996,5229.177500000001,4.665526379999999,706.0239999999999,352.5985,700.7,100.82,6.75,72.46686,851.25,361.75,239.75,4921.25,505.5,10423.0,634.25,5077.25,2386.0,3289.25,2036.0,432.25,393.75,274.75,425.25,4221.25,1773.25,1303.0,4042.25,126.75,6370.25,2201.75,4476.5,3753.0,334.25,2929.25,509.0,464.0,680.5,189.25,170.25,1636.5,1548.25,107.75,421.5,0.0,25.25,334.25,465.0,3283.25,508.25,2582.75,334.25,465.0,3753.75,508.25,2809.25,87.25,419.5,1765.25,1369.5,107.75,470.5,345.0,46.5,27.0,1.75,5.25,4.75,513.75,344.25,36.75,8.5,1.75,82.5,164.25,20.0,0.75,71.5,171.25,170.75,70.25,49.540000000000006,49.31,21250.0,397.0,26523.0,24028.0,25604.0,119.0,557.5,19000.0,158.0,410.0,402.0,485.0,508.0,16350.0,24681.0,94.0,26000.0,40500.0,24896.0,17500.0,500.0,3585.0,7650.0,38500.0,449.0,13300.0,452.5,26474.0,21250.0,449.0,557.5,19510.0,17000.0,532.5,557.5,15503.0,10349.0,4482.0,81.0,159.0,249.0,107.0,163.5,2200.0,-13500.0,56800.0,56500.0,65000.0,
2021-10-18,64000.0,1236.0,123.8495,136.512,1943.6934999994105,901.4075000000098,6.5459,224.6493645,162.51523,6.7783341345,2.845101,4001.16,5294.945,5.03489263,831.6039999999999,359.66499999999996,711.6,100.83,6.75,71.67936,830.5,344.5,228.5,4861.5,503.0,10363.0,622.5,5031.5,2375.0,3288.5,2062.0,431.5,367.5,255.5,421.5,4231.5,1758.5,1340.0,3988.5,134.5,6309.5,2186.5,4411.0,3726.0,334.5,2889.5,506.0,461.0,685.0,196.5,173.5,1634.0,1589.5,108.5,408.0,0.0,27.5,334.5,462.0,3265.5,505.5,2567.5,334.5,462.0,3727.5,505.5,2781.5,74.5,406.0,1753.5,1420.0,108.5,462.0,320.0,45.0,24.0,1.5,4.5,4.5,522.5,347.5,47.5,7.0,3.5,90.0,158.5,20.0,0.5,53.0,146.5,146.5,55.5,49.56,49.32,21250.0,427.0,26086.0,24275.0,25157.0,128.0,562.5,19000.0,180.0,436.0,432.0,500.0,528.0,16350.0,24534.0,114.5,26000.0,40500.0,24515.0,17500.0,515.0,3585.0,7650.0,38500.0,455.0,13300.0,473.5,26537.0,21250.0,480.0,567.5,19510.0,17000.0,545.0,565.0,15503.0,10349.0,4482.0,81.0,159.0,249.0,107.0,163.5,5000.0,-7500.0,59000.0,55000.0,63500.0,71500.0
